Feature,Importance
COH.C.alpha.e.Fz.j.Cz,0.0
COH.C.alpha.e.Fz.k.C4,0.0
COH.C.alpha.e.Fz.l.T4,0.0
COH.C.alpha.e.Fz.m.T5,0.0
COH.C.alpha.e.Fz.n.P3,0.0
COH.C.alpha.e.Fz.o.Pz,0.0
COH.C.alpha.e.Fz.p.P4,0.0
COH.C.alpha.e.Fz.q.T6,0.0
COH.C.alpha.e.Fz.r.O1,0.0
COH.C.alpha.e.Fz.s.O2,0.0
COH.C.alpha.f.F4.g.F8,0.0
COH.C.alpha.f.F4.h.T3,0.0
COH.C.alpha.f.F4.i.C3,0.0
COH.C.alpha.f.F4.j.Cz,0.0
COH.C.alpha.f.F4.k.C4,0.0
COH.C.alpha.f.F4.l.T4,0.0
COH.C.alpha.f.F4.m.T5,0.0
COH.C.alpha.f.F4.n.P3,0.0
COH.C.alpha.f.F4.o.Pz,0.0
COH.C.alpha.f.F4.p.P4,0.0
COH.C.alpha.f.F4.q.T6,0.0
COH.C.alpha.f.F4.r.O1,0.0
COH.C.alpha.f.F4.s.O2,0.0
COH.C.alpha.g.F8.h.T3,0.0
COH.C.alpha.g.F8.i.C3,0.0
COH.C.alpha.g.F8.j.Cz,0.0
COH.C.alpha.g.F8.k.C4,0.0
COH.C.alpha.g.F8.l.T4,0.0
COH.C.alpha.g.F8.m.T5,0.0
COH.C.alpha.g.F8.o.Pz,0.0
COH.C.alpha.g.F8.p.P4,0.0
COH.C.alpha.g.F8.q.T6,0.0
COH.C.alpha.g.F8.r.O1,0.0
COH.C.alpha.g.F8.s.O2,0.0
COH.C.alpha.h.T3.i.C3,0.0
COH.C.alpha.h.T3.j.Cz,0.0
COH.C.alpha.h.T3.k.C4,0.0
COH.C.alpha.h.T3.l.T4,0.0
COH.C.alpha.h.T3.m.T5,0.0
COH.C.alpha.h.T3.n.P3,0.0
COH.C.alpha.h.T3.o.Pz,0.0
COH.C.alpha.h.T3.p.P4,0.0
COH.C.alpha.h.T3.q.T6,0.0
COH.C.alpha.h.T3.r.O1,0.0
COH.C.alpha.h.T3.s.O2,0.0
COH.C.alpha.i.C3.j.Cz,0.0
COH.C.alpha.i.C3.k.C4,0.0
COH.C.alpha.i.C3.l.T4,0.0
COH.C.alpha.i.C3.m.T5,0.0
COH.C.alpha.i.C3.n.P3,0.0
COH.C.alpha.i.C3.o.Pz,0.0
AB.A.delta.g.F8,0.0
COH.C.alpha.i.C3.q.T6,0.0
COH.C.alpha.i.C3.r.O1,0.0
COH.C.alpha.i.C3.s.O2,0.0
COH.C.alpha.j.Cz.k.C4,0.0
COH.C.alpha.j.Cz.l.T4,0.0
COH.C.alpha.j.Cz.m.T5,0.0
COH.C.alpha.j.Cz.n.P3,0.0
COH.C.alpha.j.Cz.o.Pz,0.0
COH.C.alpha.j.Cz.p.P4,0.0
COH.C.alpha.j.Cz.q.T6,0.0
COH.C.alpha.j.Cz.r.O1,0.0
COH.C.alpha.j.Cz.s.O2,0.0
COH.C.alpha.k.C4.l.T4,0.0
COH.C.alpha.k.C4.m.T5,0.0
COH.C.alpha.k.C4.n.P3,0.0
COH.C.alpha.k.C4.o.Pz,0.0
COH.C.alpha.k.C4.p.P4,0.0
AB.A.delta.h.T3,0.0
COH.C.alpha.k.C4.r.O1,0.0
COH.C.alpha.k.C4.s.O2,0.0
AB.A.delta.i.C3,0.0
COH.C.alpha.l.T4.n.P3,0.0
COH.C.alpha.l.T4.o.Pz,0.0
COH.C.alpha.l.T4.p.P4,0.0
COH.C.alpha.l.T4.q.T6,0.0
COH.C.alpha.l.T4.r.O1,0.0
COH.C.alpha.l.T4.s.O2,0.0
COH.C.alpha.m.T5.n.P3,0.0
COH.C.alpha.m.T5.o.Pz,0.0
COH.C.alpha.m.T5.p.P4,0.0
COH.C.alpha.m.T5.q.T6,0.0
COH.C.alpha.m.T5.r.O1,0.0
COH.C.alpha.m.T5.s.O2,0.0
COH.C.alpha.n.P3.o.Pz,0.0
COH.C.alpha.n.P3.p.P4,0.0
COH.C.alpha.n.P3.q.T6,0.0
COH.C.alpha.n.P3.r.O1,0.0
COH.C.alpha.n.P3.s.O2,0.0
COH.C.alpha.o.Pz.p.P4,0.0
COH.C.alpha.o.Pz.q.T6,0.0
